festival_kr,festival,place,place_en,begin_date,end_date,contents,contents_en,organizer,organizer_en,host,host_en,sponsor,sponsor_en,phone,website,additional,address,address_old_style,latitude,longitude,updated,data_organization_code,data_organization,data_organization_en,address_en,address_old_en
춘천마임축제,Chuncheon Mime Festival,춘청 중앙로+커먼즈필드 춘천+함악산 호수 케이블카 공영주차장 일원+축제극장 몸짓+춘천문화예술회관 등,"Chuncheon Jungang-ro + Commons Field Chuncheon + Hamaksan Lake Cable Car Public Parking Area + Festival Theater Gesture + Chuncheon Culture and Arts Center, etc.",2023-05-28,2023-06-04,극장공연+거리마임공연+봄의도시/물의도시/불의도시 공연,Theater performance + street mime performance + city of spring/city of water/city of fire performance,(사) 춘천마임축제,(Company) Chuncheon Mime Festival,(사)춘천마임축제+KBS춘천방송총국+G1방송,Chuncheon Mime Festival + KBS Chuncheon Broadcasting Bureau + G1 Broadcasting,문화체육관광부+강원특별자치도청+강원특별자치도 춘천시청+한국관광공사+한국문화예술위원회+한국메세나협회,"Ministry of Culture, Sports and Tourism + Gangwon Special Self-Governing Province + Chuncheon City Hall of Gangwon Special Self-Governing Province + Korea Tourism Organization + Arts Council of Korea + Korea Mecenat Association",033-242-0585,mimefestival.com,,강원특별자치도 춘천시 춘천로 112,강원특별자치도 춘천시 효자동 531,37.8730209,127.7278102,2024-02-27,B551011,제주특별자치도,Jeju Special Self-Governing Province,"112, Chuncheon-ro, Chuncheon-si, Gangwon-do","531 Hyoja-dong, Chuncheon-si, Gangwon-do"
탐라문화제,Tamna Cultural Festival,제주시 산지천+칠성로 원도심+탐라문화광장,Jeju City Sanjicheon + Chilseong-ro original downtown + Tamna Culture Square,2023-10-06,2023-10-10,탐라개벽신위제+탐라퍼레이드+민속체험+탐라예술무대+참여행사 등,"Tamna Gaebyeoksinwije + Tamna Parade + Folk Experience + Tamna Art Stage + Participating Travel Agency, etc.",탐라문화제추진위원회,Tamna Cultural Festival Promotion Committee,제주특별자치도청+한국예총제주도연합회,Jeju Special Self-Governing Provincial Office + Jeju Federation of Korean Arts and Culture,문화체육관광부+제주특별자치도의회+제주특별자치도교육청+제주특별자치도관광공사+제주특별자치도관광협회+제주농협,"Ministry of Culture, Sports and Tourism + Jeju Special Self-Governing Provincial Council + Jeju Special Self-Governing Provincial Office of Education + Jeju Special Self-Governing Province Tourism Organization + Jeju Special Self-Governing Province Tourism Association + Jeju Agricultural Cooperative",064-753-3287,http://www.tamnafestival.kr/,,제주특별자치도 제주시 중앙로 2,제주특별자치도 제주시 삼도이동 1262,33.51814757,126.5239547,2024-02-27,B551011,한국관광공사,Korea Tourism Organization,"2, Jungang-ro, Jeju-si, Jeju-do","1262 Samdo-i-dong, Jeju-si, Jeju-do"
대구치맥페스티벌,Daegu Chicken and Beer Festival,두류공원,Duryu Park,2021-10-01,2021-11-30,치맥 테마 식음+체험+공연+참여프로그램 운영 등,"Chicken and beer themed food and beverage + experience + performance + participation program operation, etc.",대구치맥페스티벌 조직위원회,Daegu Chicken and Beer Festival Organizing Committee,사단법인한국치맥산업협회,Korea Chicken and Beer Industry Association,,#VALUE!,053-248-9998,http://www.daegu.go.kr/,개최취소,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,한국관광공사,Korea Tourism Organization,"88, Gongpyeong-ro, Jung-gu, Daegu (Dongin-dong 1-ga)",#VALUE!
디지털패션문화페스티벌,Digital Fashion Culture Festival,공원,park,2021-12-06,2021-12-12,디지털 패션쇼+패션아트 전시 및 공연+이커머스 라이브 마켓 등,"Digital fashion show + fashion art exhibition and performance + e-commerce live market, etc.",한국패션산업연구원,Korea Fashion Industry Research Institute,대구광역시 섬유패션과,Daegu Metropolitan City Textile Fashion Department,,#VALUE!,053-721-7434,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,한국관광공사,Korea Tourism Organization,"88, Gongpyeong-ro, Jung-gu, Daegu (Dongin-dong 1-ga)",#VALUE!
대구포크페스티벌,Daegu Folk Festival,공원,park,2021-11-20,2021-11-20,포크송 및 버스킹 공연+언택트 공연 100인 랜선 합창 등,"Folk song and busking performance + untact performance, 100-person online choir, etc.",사단법인대구포크페스티벌,Daegu Folk Festival,대구광역시 문화예술정책과,Daegu Metropolitan City Culture and Arts Policy Department,,#VALUE!,053-626-2015,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,한국관광공사,Korea Tourism Organization,"88, Gongpyeong-ro, Jung-gu, Daegu (Dongin-dong 1-ga)",#VALUE!
대구국제오페라축제,Daegu International Opera Festival,공연장,concert hall,2021-09-09,2021-11-07,초청 오페라 공연+국제오페라오디션 등,"Invitational opera performance + international opera audition, etc.",재단법인대구오페라하우스,Daegu Opera House Foundation,대구광역시 문화콘텐츠과,Daegu Metropolitan City Cultural Contents Department,,#VALUE!,053-803-3792,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,한국관광공사,Korea Tourism Organization,"88, Gongpyeong-ro, Jung-gu, Daegu (Dongin-dong 1-ga)",#VALUE!
2023 계묘년 해맞이행사,2023 Gyemyo Year Sunrise Event,오륙도 스카이워크광장 일원,Oryukdo Skywalk Square area,2023-01-01,2023-01-01,공연+덕담나누기+일출관람,Performance + sharing good words + watching the sunrise,부산광역시 남구,"Nam-gu, Busan",부산광역시 남구,"Nam-gu, Busan",,#VALUE!,,,,부산광역시 남구 오륙도로 137,부산광역시 남구 용호동 950-1,35.10143789,129.1231056,2023-09-11,3310000,한국관광공사,Korea Tourism Organization,"137 Oryukdo-ro, Nam-gu, Busan","950-1 Yongho-dong, Nam-gu, Busan"
2023 정월대보름 달맞이축제,2023 New Year’s Day Full Moon Festival,용호별빛공원,Yongho Starlight Park,2023-02-05,2023-02-05,무대+체험+전시+부대행사,Stage + Experience + Exhibition + Side Events,부산광역시 남구,"Nam-gu, Busan",부산광역시 남구,"Nam-gu, Busan",,#VALUE!,,,,부산광역시 남구 분포로 66-40,부산광역시 남구 용호동 5-5,35.1322161,129.1201429,2023-09-11,3310000,한국관광공사,Korea Tourism Organization,"66-40 Boonbu-ro, Nam-gu, Busan","5-5 Yongho-dong, Nam-gu, Busan"
제25회 UN평화축제,25th UN Peace Festival,평화공원,Peace Park,2023-10-14,2023-10-15,무대+체험+전시+부대행사,Stage + Experience + Exhibition + Side Events,부산광역시 남구,"Nam-gu, Busan",부산광역시 남구,"Nam-gu, Busan",,#VALUE!,,,,부산광역시 남구 대연동 707,부산광역시 남구 대연동 707,35.12623753,129.1004335,2023-09-11,3310000,한국관광공사,Korea Tourism Organization,"707 Daeyeon-dong, Nam-gu, Busan","707 Daeyeon-dong, Nam-gu, Busan"
대구약령시한방문화축제,Daegu Yangnyeongsi Oriental Medicine Culture Festival,약령시장,herbal medicine market,2021-10-06,2021-10-10,고유제+개막식+체험프로그램 등,"Unique festival + opening ceremony + experience program, etc.",사단법인약령시보존위원회,"Yangnyeongsi Preservation Committee, Incorporated Association",대구광역시 의료산업기반과+대구광역시 중구 관광진흥과,Daegu Metropolitan City Medical Industry Infrastructure Department + Daegu Metropolitan City Jung-gu Tourism Promotion Department,,#VALUE!,053-253-4729,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시,Daegu Metropolitan City,"88, Gongpyeong-ro, Jung-gu, Daegu (Dongin-dong 1-ga)",#VALUE!
대구컬러풀페스티벌,Daegu Colorful Festival,국채보상로,National Debt Compensation Road,2021-10-22,2021-10-24,퍼레이드+축하공연+부대행사 등,"Parade + celebration performance + side events, etc.",재단법인대구문화재단,Daegu Cultural Foundation,대구광역시 문화콘텐츠과,Daegu Metropolitan City Cultural Contents Department,,#VALUE!,053-430-1261,http://www.daegu.go.kr/,개최취소,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시,Daegu Metropolitan City,"88, Gongpyeong-ro, Jung-gu, Daegu (Dongin-dong 1-ga)",#VALUE!
대구국제뮤지컬페스티벌,Daegu International Musical Festival,공연장,concert hall,2021-06-18,2021-07-05,국내외 우수작품 공연+딤프어워즈+딤프린지 등,"Performances of excellent domestic and international works + DIMP Awards + DIMP Fringe, etc.",사단법인DIMF,DIMF Corporation,대구광역시 문화콘텐츠과,Daegu Metropolitan City Cultural Contents Department,,#VALUE!,053-622-1945,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시,Daegu Metropolitan City,"88, Gongpyeong-ro, Jung-gu, Daegu (Dongin-dong 1-ga)",#VALUE!
2017 물의나라화천 쪽배축제,2017 Water Country Hwacheon Pear Festival,강원도 화천군 화천읍 붕어섬일원,"Bungeo Island area, Hwacheon-eup, Hwacheon-gun, Gangwon-do",2017-07-29,2017-08-13,"물놀이장, 산천호경주대회, 창작쪽배콘테스트 등","Water park, Sancheon Lake racing competition, creative boat contest, etc.",(재)나라,(foundation) country,강원도 화천군청,"Hwacheon-gun Office, Gangwon-do",,#VALUE!,1688-3005,www.narafestival.com,,강원도 화천군 화천읍 강변로 2-54,강원도 화천군 화천읍 하리 243,38.1007316,127.6970642,2022-12-06,4310000,대구광역시,Daegu Metropolitan City,"2-54 Gangbyeon-ro, Hwacheon-eup, Hwacheon-gun, Gangwon-do","243 Hari, Hwacheon-eup, Hwacheon-gun, Gangwon-do"
2017 얼음나라화천 산천어축제,2017 Ice Land Hwacheon Sancheoneo Festival,강원도 화천군 화천읍 화천천일원,"Hwacheoncheon area, Hwacheon-eup, Hwacheon-gun, Gangwon-do",2017-01-14,2016-02-05,"얼음낚시, 맨손잡기, 눈얼음체험, 얼음조각광장 등","Ice fishing, bare hand catching, snow and ice experience, ice sculpture plaza, etc.",(재)나라,(foundation) country,강원도 화천군청,"Hwacheon-gun Office, Gangwon-do",문화체육관광부,"Ministry of Culture, Sports and Tourism",1688-3005,www.narafestival.com,,강원도 화천군 화천읍 산천어길 137,강원도 화천군 화천읍 중리 186-5,38.112578,127.709826,2022-12-06,4310000,부산광역시 남구,"Nam-gu, Busan","137 Sancheoneo-gil, Hwacheon-eup, Hwacheon-gun, Gangwon-do","186-5, Jung-ri, Hwacheon-eup, Hwacheon-gun, Gangwon-do"
구문소용축제,Gumun Soyong Festival,구문소관광단지 일원,Areas of Gumunso Tourist Complex,2022-08-13,2022-08-14,용신제+전통공연+체험프로그램,Dragon God Festival + Traditional Performance + Experience Program,구문소축제위원회,Gumun Beef Festival Committee,구문소축제위원회,Gumun Beef Festival Committee,강원도 태백시청,"Taebaek City Hall, Gangwon-do",033-581-6904,http://tbcf.or.kr/,,강원도 태백시 장성1길 171,강원도 태백시장성동 169-1,37.10051315,129.0082172,2022-12-05,4220000,부산광역시 남구,"Nam-gu, Busan","171 Jangseong 1-gil, Taebaek-si, Gangwon-do","169-1, Seong-dong, Taebaek Market, Gangwon-do"
2021조운플레잉 모두가어린이라면,2021 Joun Play If everyone is a child,춘천지하상가+춘천시청광장,Chuncheon Underground Shopping Mall + Chuncheon City Hall Square,2021-06-26,2021-06-27,"공연, 체험, 퍼레이드와 어린이플리마켓을 진행한다.","Performances, experiences, parades and children's flea markets will be held.",조운동도시재생현장지원센터,Joundong Urban Regeneration Site Support Center,강원도 춘천시청,"Chuncheon City Hall, Gangwon-do",강원도 춘천시청,"Chuncheon City Hall, Gangwon-do",033-250-4938,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7653&search_type=1&search_keyword=ECA1B0EC9AB4ED948CEBA088EC9E89,전시관람,강원도 춘천시 중앙로 51-2+강원도 춘천시 시청길11,강원도 춘천시 중앙로2가 116+강원도 춘천시 옥천동 111-1 춘천시청,37.881231,127.730012,2023-01-12,4180000,부산광역시 남구,"Nam-gu, Busan","51-2 Jungang-ro, Chuncheon-si, Gangwon-do + 11 Sicheong-gil, Chuncheon-si, Gangwon-do","116 Jungang-ro 2-ga, Chuncheon-si, Gangwon-do + 111-1 Okcheon-dong, Chuncheon-si, Gangwon-do Chuncheon City Hall"
책 보러 가지 않을래,Why don’t you go read a book?,춘천문화예술회관 전시장,Chuncheon Culture and Arts Center Exhibition Hall,2021-05-30,2021-05-30,"소양하다, 파피루스 ,서툰책방, 첫서재 공간의 주인장들의 감성이 스며있는 책들과 굿즈를 선보인다.","Soyanghada, Papyrus, Clumsy Bookstore, and First Library present books and goods imbued with the sensibilities of the owners of the space.",강원민족미술인협회,Gangwon National Artists Association,강원도청,Gangwon Provincial Office,강원도청,Gangwon Provincial Office,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7646&search_type=1&search_keyword=ECB185+EBB3B4EB9FAC+EAB080ECA780+EC958AEC9D84EB9E983F,전시관람,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12 춘천문화예술회관,37.87261579,127.7293405,2023-01-12,4180000,대구광역시,Daegu Metropolitan City,"13, Hyojasang-gil 5beon-gil, Chuncheon-si, Gangwon-do","Chuncheon Culture and Arts Center, San 40-12, Hyoja-dong, Chuncheon-si, Gangwon-do"
춘천마임축제 봄시즌,Chuncheon Mime Festival Spring Season,춘천시내 다수지역,Multiple areas in Chuncheon city,2021-05-23,2021-05-29,2021년 우리의 잃어버린 봄을 찾기위한 무언의 몸짓으로 시민과 예술가의 봄을 찾는 공연,A performance to find spring by citizens and artists through a silent gesture to find our lost spring in 2021,(사)춘천마임축제,Chuncheon Mime Festival,(사)춘천마임축제+KBS방송총국+춘천MBC,Chuncheon Mime Festival + KBS Broadcasting Corporation + Chuncheon MBC,문화체육관광부+강원도청+강원도 춘천시청+한국관광공사+남이섬교육문화그룹+나미나라공화국남이섬+한림대학교춘천성심병원+한국문화예술위원회+한국메세나협회,"Ministry of Culture, Sports and Tourism + Gangwon Provincial Office + Gangwon-do Chuncheon City Hall + Korea Tourism Organization + Nami Island Education and Culture Group + Naminara Republic Nami Island + Hallym University Chuncheon Sacred Heart Hospital + Korea Arts Council + Korea Mecenat Association",033-242-0585,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7642&search_type=1&search_keyword=ECB698ECB29CEBA788EC9E84ECB695ECA09C+EBB484EC8B9CECA68C,전시관람,강원도 춘천시 춘천로 112 축제극장몸짓,강원도 춘천시 효자동 531,37.873089,127.727845,2023-01-12,4180000,대구광역시,Daegu Metropolitan City,"Festival Theater Gesture, 112 Chuncheon-ro, Chuncheon-si, Gangwon-do","531 Hyoja-dong, Chuncheon-si, Gangwon-do"
춘천인형극제 코코바우 놀이터 자연아 놀러와,Chuncheon Puppet Festival Coco Bow Playground Jayeon Come and Play,춘천인형극장,Chuncheon Puppet Theater,2021-04-24,2021-07-24,"자연의 흐름을 주제로 모두 함께 인형극, 만들기를 즐기며 자연을 느낄 수 있다.","With the theme of the flow of nature, everyone can enjoy puppet shows and crafts together and feel nature.",춘천인형극제,Chuncheon Puppet Festival,춘천인형극제,Chuncheon Puppet Festival,강원도 춘천시청,"Chuncheon City Hall, Gangwon-do",033-242-8452,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7629&search_type=1&search_keyword=ECB698ECB29CEC9DB8ED9895EAB7B9ECA09C5D+ECBD94ECBD94EBB094EC9AB0+EB8680EC9DB4ED84B0+3A+EC9E90EC97B0EC9584+EB8680EB9FACEC998021,전시관람,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3 춘천인형극장,37.92101625,127.720197,2023-01-12,4180000,대구광역시,Daegu Metropolitan City,"3017 Yeongseo-ro, Chuncheon-si, Gangwon-do","Chuncheon Puppet Theater, 277-3, Sanong-dong, Chuncheon-si, Gangwon-do"
제8회 철원 한탄강 얼음트레킹,8th Cheorwon Hantangang Ice Trekking,철원 한탄강 및 승일공원 일원,Cheorwon Hantangang River and Seungil Park area,2020-01-18,2020-01-27,"개막행사, 얼음트레킹, 똥바람 알통구보대회 등","Opening event, ice trekking, poop wind brisk canter competition, etc.",철원군축제위원회,Cheorwon-gun Festival Committee,철원군,Cheorwon-gun,철원군의회+한국관광공사+블랙야크,Cheorwon County Council + Korea Tourism Organization + Black Yak,033-450-5255,https://www.cwgfestival.com,,,강원도 철원군 갈말읍 내대리 550,38.188522,127.300353,2020-08-26,4301000,강원도 화천군,"Hwacheon-gun, Gangwon-do",#VALUE!,"550 Naedae-ri, Galmal-eup, Cheorwon-gun, Gangwon-do"
제13회 철원 화강 다슬기축제,The 13th Cheorwon Hwagang Sulgi Festival,김화생활체육공원 및 화강 일원,Gimhwa Life Sports Park and Hwagang area,2019-08-01,2019-08-04,"개막행사, 황금다슬기잡기 등 체험프로그램, 축하공연 등","Opening event, experiential programs such as catching golden sesame seeds, celebratory performances, etc.",철원군축제위원회,Cheorwon-gun Festival Committee,철원군,Cheorwon-gun,강원도+한국관광공사+농협철원군지부,Gangwon-do + Korea Tourism Organization + Nonghyup Cheorwon-gun Branch,033-450-5255,https://www.cwgfestival.com,,강원도 철원군 김화읍 청양로 649,강원도 철원군 김화읍 청양리 1,38.249835,127.4136594,2020-08-26,4301000,강원도 화천군,"Hwacheon-gun, Gangwon-do","649, Cheongyang-ro, Gimhwa-eup, Cheorwon-gun, Gangwon-do","1 Cheongyang-ri, Gimhwa-eup, Cheorwon-gun, Gangwon-do"
2019 송년콘서트 및 청소년페스티벌,2019 Year-End Concert and Youth Festival,철원실내체육관,Cheorwon Indoor Gymnasium,2019-12-16,2019-12-17,"송년콘서트, 청소년페스티벌","Year-end concert, youth festival","철원군축제위원회, 철원교육지원청","Cheorwon-gun Festival Committee, Cheorwon Office of Education",철원군,Cheorwon-gun,,#VALUE!,033-450-5255,https://www.cwgfestival.com,,강원도 철원군 갈말읍 갈말로 75,강원도 철원군 갈말읍 군탄리 1341,38.161341,127.303257,2020-08-26,4301000,강원도 태백시,"Taebaek-si, Gangwon-do","75 Galmal-ro, Galmal-eup, Cheorwon-gun, Gangwon-do","1341 Guntan-ri, Galmal-eup, Cheorwon-gun, Gangwon-do"
2023 대전 서구힐링 아트페스티벌,2023 Daejeon Seo-gu Healing Art Festival,샘머리공원 및 보라매공원(서구청앞) 일원,Areas of Saemmeori Park and Boramae Park (in front of Seo-gu Office),2023-10-13,2023-10-15,도심 속에서 펼쳐지는 빛과 문화예술의 항연,A feast of light and culture and art unfolding in the city center,서구축제추진위원회+대전광역시서구문화원+한국예총대전광역시연합회,Seo-gu Festival Promotion Committee + Daejeon Metropolitan City Seo-gu Cultural Center + Korea Federation of Arts and Culture Daejeon Metropolitan City Association,대전광역시 서구,"Seo-gu, Daejeon Metropolitan City",하나은행,Hana Bank,042-288-2742,https://www.seogu.go.kr/prog/fstvl/tour/sub04_02/14/view.do,,대전광역시 서구 둔산서로 100,대전광역시 서구 둔산동 1544,36.35505601,127.3833576,2023-12-14,3660000,강원도 춘천시,"Chuncheon-si, Gangwon-do","100 Dunsanseo-ro, Seo-gu, Daejeon","1544 Dunsan-dong, Seo-gu, Daejeon"
판교25통 힐링로드축제,Pangyo 25th Healing Road Festival,분당판교청소년수련관,Bundang Pangyo Youth Training Center,2024-04-27,2024-04-27,공방체험+문화공연+시민참여 플리마켓 등,"Workshop experience + cultural performance + citizen participation flea market, etc.",성남시청소년재단,Seongnam City Youth Foundation,경기도 성남시,"Seongnam-si, Gyeonggi-do",,#VALUE!,031-729-9637,,,경기도 성남시 분당구 판교공원로4길 27,경기도 성남시 분당구 판교동 553,37.39189847,127.0908707,2024-02-27,3780000,강원도 춘천시,"Chuncheon-si, Gangwon-do","27, Pangyo Park-ro 4-gil, Bundang-gu, Seongnam-si, Gyeonggi-do","553 Pangyo-dong, Bundang-gu, Seongnam-si, Gyeonggi-do"
제18회 청계산 철쭉축제,The 18th Cheonggyesan Azalea Festival,수정구 상적동,"Sangjeok-dong, Sujeong-gu",2024-04-27,2024-04-27,문화공연+먹거리행사+경품행사 등,"Cultural performance + food event + prize giveaway, etc.",청계산 철쭉축제 추진위원회,Cheonggyesan Azalea Festival Promotion Committee,경기도 성남시,"Seongnam-si, Gyeonggi-do",,#VALUE!,031-729-5882,,,,경기도 성남시 수정구 상적동 280-4,37.42643455,127.070772,2024-02-27,3780000,강원도 춘천시,"Chuncheon-si, Gangwon-do",#VALUE!,"280-4 Sangjeok-dong, Sujeong-gu, Seongnam-si, Gyeonggi-do"
효사랑 경로잔치,HyoSarang Senior Citizen’s Party,은행1동 행정복지센터 주차장,Eunhaeng 1-dong Administrative Welfare Center parking lot,2024-05-08,2024-05-08,경로잔치(중식 접대)+문화공연 등,"Senior citizen banquet (lunch reception) + cultural performance, etc.",은행1동 유관단체,Bank 1-dong related organizations,경기도 성남시,"Seongnam-si, Gyeonggi-do",,#VALUE!,031-729-6682,,,경기도 성남시 중원구 은행로 85,경기도 성남시 중원구 은행동 2192,37.45212158,127.1689239,2024-02-27,3780000,강원도 춘천시,"Chuncheon-si, Gangwon-do","85 Eunhaeng-ro, Jungwon-gu, Seongnam-si, Gyeonggi-do","2192 Eunhaeng-dong, Jungwon-gu, Seongnam-si, Gyeonggi-do"
지구촌 어울림 축제,Global Harmony Festival,성남시청 광장 일대,Seongnam City Hall Square area,2024-05-19,2024-05-19,세계 문화 전시 및 체험부스+식전·식후공연 등,"World culture exhibition and experience booth + pre-dinner and post-dinner performances, etc.",여성가족과(외국인주민복지지원센터),Women and Family Department (Foreign Resident Welfare Support Center),경기도 성남시,"Seongnam-si, Gyeonggi-do",,#VALUE!,031-729-3072,,,경기도 성남시 중원구 성남대로 997,경기도 성남시 중원구 여수동 200,37.42017754,127.12628,2024-02-27,3780000,강원특별자치도 철원군,"Cheorwon-gun, Gangwon Special Self-Governing Province","997 Seongnam-daero, Jungwon-gu, Seongnam-si, Gyeonggi-do","200 Yeosu-dong, Jungwon-gu, Seongnam-si, Gyeonggi-do"
2024. 청.마.닮&청소년 어울림마당,2024. Cheong.Ma.Dam&Youth Harmony Center,양영 어린이공원,Yangyeong Children’s Park,2024-05-25,2024-05-25,청소년 체험부스 및 청소년 공연+다양한 이벤트 등,"Youth experience booth and youth performances + various events, etc.",성남시청소년재단,Seongnam City Youth Foundation,경기도 성남시,"Seongnam-si, Gyeonggi-do",,#VALUE!,031-729-9435,,,,경기도 성남시 분당구 서현동 317-1,37.37340129,127.139378,2024-02-27,3780000,강원특별자치도 철원군,"Cheorwon-gun, Gangwon Special Self-Governing Province",#VALUE!,"317-1 Seohyeon-dong, Bundang-gu, Seongnam-si, Gyeonggi-do"
제27회 무안연꽃축제,27th Muan Lotus Festival,회산백련지 일원,Hoesan Baekryeonji area,2024-07-25,2024-07-28,연꽃 힐링 및 체험프로그램+먹거리 운영 등,"Lotus healing and experience programs + food operation, etc.",전라남도 무안군축제추진위원회,Jeollanam-do Muan-gun Festival Promotion Committee,전라남도 무안군,"Muan-gun, Jeollanam-do",,#VALUE!,061-450-5472,http://tour.muan.go.kr/,,전라남도 무안군 일로읍 백련로 333,전라남도 무안군 일로읍 복룡리 150,34.86008849,126.5298962,2024-02-23,4950000,강원특별자치도 철원군,"Cheorwon-gun, Gangwon Special Self-Governing Province","333 Baekryeon-ro, Ilo-eup, Muan-gun, Jeollanam-do","150 Bokryong-ri, Ilo-eup, Muan-gun, Jeollanam-do"
달마고도 힐링축제,Dharma Godo Healing Festival,달마고도 및 해남군 일원,Dalma Island and Haenam-gun area,2022-11-19,2022-11-19,달마고도순례길걷기+무대행사+체험등,"Walking the Dharma Ancient Pilgrimage Road + Stage Event + Experience, etc.",전라남도 해남군청,"Haenam-gun Office, Jeollanam-do",전라남도 해남군청,"Haenam-gun Office, Jeollanam-do",전라남도 해남군청,"Haenam-gun Office, Jeollanam-do",061-530-5159,www.haenam.go.kr,,전라남도 해남군 송지면 미황사길 164,전라남도 해남군 송지면 서정리 1,34.38223237,126.5779589,2022-05-23,4930000,대전광역시 서구,"Seo-gu, Daejeon Metropolitan City","164 Mihwangsa-gil, Song-myeon, Haenam-gun, Jeollanam-do","1 Seojeong-ri, Songji-myeon, Haenam-gun, Jeollanam-do"
땅끝수국축제,Ttangkkeut Hydrangea Festival,포레스트수목원,Forest Arboretum,2022-06-06,2022-07-18,100여희귀품종+수국사진공모전 등,"100 rare varieties + hydrangea photo contest, etc.",포레스트수목원,Forest Arboretum,포레스트 수목원,Forest Arboretum,전라남도 해남군청,"Haenam-gun Office, Jeollanam-do",061-533-7220,www.4est수목원.com,,전라남도 해남군 현산면 봉동길 232-118,전라남도 해남군 현산면 황산리 산1-39,34.45321139,126.5955,2022-05-23,4930000,경기도 성남시,"Seongnam-si, Gyeonggi-do","232-118 Bongdong-gil, Hyeonsan-myeon, Haenam-gun, Jeollanam-do","San 1-39, Hwangsan-ri, Hyeonsan-myeon, Haenam-gun, Jeollanam-do"
송호해변여름축제,Songho Beach Summer Festival,송호해수욕장,Songho Beach,2022-07-29,2022-07-31,축하공연+버스킹+수상레저체험+체험프로그램 등,"Celebratory performance + busking + water leisure experience + experience program, etc.",전라남도 해남군청,"Haenam-gun Office, Jeollanam-do",전라남도 해남군청,"Haenam-gun Office, Jeollanam-do",전라남도 해남군청,"Haenam-gun Office, Jeollanam-do",061-530-5158,www.haenam.go.kr,,전라남도 해남군 송지면 땅끝해안로 1813,전라남도 해남군 송지면 송호리 914-5,34.3157139,126.5189509,2022-05-23,4930000,경기도 성남시,"Seongnam-si, Gyeonggi-do","1813 Ttangkeuthaean-ro, Songji-myeon, Haenam-gun, Jeollanam-do","914-5 Songho-ri, Song-myeon, Haenam-gun, Jeollanam-do"
오시아노 썸머뮤직 페스티벌,Oceano Summer Music Festival,오시아노 관광단지,Oceano Tourist Complex,2022-08-26,2022-08-27,음악콘서트+SNS이벤트 등,"Music concert + SNS event, etc.",전라남도 해남군청,"Haenam-gun Office, Jeollanam-do",전라남도 해남군청,"Haenam-gun Office, Jeollanam-do",전라남도 해남군청,"Haenam-gun Office, Jeollanam-do",061-530-5158,www.haenam.go.kr,,,전라남도 해남군 화원면 화봉리 376-1,34.66958237,126.2604602,2022-05-23,4930000,경기도 성남시,"Seongnam-si, Gyeonggi-do",#VALUE!,"376-1 Hwabong-ri, Hwawon-myeon, Haenam-gun, Jeollanam-do"
제3기 청년기자단 모집,Recruitment of the 3rd youth reporter group,커먼즈필드 춘천 3층,Commons Field Chuncheon 3rd floor,2022-03-02,2022-03-18,청년의 눈으로 바라본 춘천의 모습을 전하는 춘천시 청년청의 스토리텔러,A storyteller from the Chuncheon City Youth Office who conveys Chuncheon seen through the eyes of young people.,춘천시 청년청,Chuncheon City Youth Office,춘천시 청년청,Chuncheon City Youth Office,춘천시 청년청,Chuncheon City Youth Office,033-910-3108,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10225&search_type=1&search_keyword=ECA09C3EAB8B0+ECB2ADEB8584EAB8B0EC9E90EB8BA8+EBAAA8ECA791,기타,강원도 춘천시 공지로 255,강원도 춘천시 효자동 303-14,37.86462536,127.735421,2023-01-12,4180000,경기도 성남시,"Seongnam-si, Gyeonggi-do","255 Gongji-ro, Chuncheon-si, Gangwon-do","303-14 Hyoja-dong, Chuncheon-si, Gangwon-do"
